Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,112.2,-90.8,180,top
C2,100n,C_0402_1005Metric,101,-78.2,90,top
C3,100n,C_0402_1005Metric,116,-78.92,-90,top
C4,100n,C_0402_1005Metric,105,-74.6,0,top
C5,10u,C_0603_1608Metric,105,-73,0,top
C6,10n,C_0402_1005Metric,100,-84.5,90,top
C7,1u,C_0402_1005Metric,100,-88.5,180,top
C8,1u,C_0402_1005Metric,100,-89.7,180,top
C9,100n,C_0402_1005Metric,98.92,-75.1,180,top
C10,10p,C_0402_1005Metric,96.95,-78.6,90,top
C11,10p,C_0402_1005Metric,96.95,-80.6,90,top
C12,22u,C_0805_2012Metric,119.9,-87.15,0,top
C13,22u,C_0805_2012Metric,125.3,-92.35,90,top
C14,4.7u,C_0402_1005Metric,109.9,-90.7,180,top
D1,RED,LED_0603_1608Metric,127.4,-92.2,-90,top
FB1,FerriteBead,L_0603_1608Metric,102.2,-90.1,-90,top
J1,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,127,-80.2,90,top
J2,SWD,PinHeader_1x04_P2.54mm_Vertical,122,-77.31,180,top
J3,I2C1_A,PinHeader_1x04_P2.54mm_Vertical,117.41,-64.8,-90,top
J4,I2C1_B,PinHeader_1x04_P2.54mm_Vertical,117.41,-68.6,-90,top
J5,SPI1,PinHeader_1x06_P2.54mm_Vertical,113.55,-97,-90,top
J6,PWM_OUT,PinHeader_1x04_P2.54mm_Vertical,88.4,-86.19,0,top
J7,ADC1,PinHeader_1x02_P2.54mm_Vertical,88.4,-77.725,0,top
R1,10k,R_0402_1005Metric,90.2,-68.6,90,top
R2,1k5,R_0402_1005Metric,127.4,-88.7,90,top
SW1,SW_Push,SW_SPST_TS-1088-xR020,96.3,-71.9,180,top
SW2,SW_SPDT,SW_SPDT_PCM12,84.8,-68.6,-90,top
U1,STM32F446RET6,LQFP-64_10x10mm_P0.5mm,108.5,-82.5,0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,120.1,-92.75,-90,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,94.35,-79.6,-90,top
