Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",112.200000,-90.800000,180.000000,top
"C2","100n","C_0402_1005Metric",101.000000,-78.200000,90.000000,top
"C3","100n","C_0402_1005Metric",116.000000,-78.920000,-90.000000,top
"C4","100n","C_0402_1005Metric",105.000000,-74.600000,0.000000,top
"C5","10u","C_0603_1608Metric",105.000000,-73.000000,0.000000,top
"C6","10n","C_0402_1005Metric",100.000000,-84.500000,90.000000,top
"C7","1u","C_0402_1005Metric",100.000000,-88.500000,180.000000,top
"C8","1u","C_0402_1005Metric",100.000000,-89.700000,180.000000,top
"C9","100n","C_0402_1005Metric",98.920000,-75.100000,180.000000,top
"C10","10p","C_0402_1005Metric",96.950000,-78.600000,90.000000,top
"C11","10p","C_0402_1005Metric",96.950000,-80.600000,90.000000,top
"C12","22u","C_0805_2012Metric",119.900000,-87.150000,0.000000,top
"C13","22u","C_0805_2012Metric",125.300000,-92.350000,90.000000,top
"C14","4.7u","C_0402_1005Metric",109.900000,-90.700000,180.000000,top
"D1","RED","LED_0603_1608Metric",127.400000,-92.200000,-90.000000,top
"FB1","FerriteBead","L_0603_1608Metric",102.200000,-90.100000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",127.000000,-80.200000,90.000000,top
"J2","SWD","PinHeader_1x04_P2.54mm_Vertical",122.000000,-77.310000,180.000000,top
"J3","I2C1_A","PinHeader_1x04_P2.54mm_Vertical",117.410000,-64.800000,-90.000000,top
"J4","I2C1_B","PinHeader_1x04_P2.54mm_Vertical",117.410000,-68.600000,-90.000000,top
"J5","SPI1","PinHeader_1x06_P2.54mm_Vertical",113.550000,-97.000000,-90.000000,top
"J6","PWM_OUT","PinHeader_1x04_P2.54mm_Vertical",88.400000,-86.190000,0.000000,top
"J7","ADC1","PinHeader_1x02_P2.54mm_Vertical",88.400000,-77.725000,0.000000,top
"R1","10k","R_0402_1005Metric",90.200000,-68.600000,90.000000,top
"R2","1k5","R_0402_1005Metric",127.400000,-88.700000,90.000000,top
"SW1","SW_Push","SW_SPST_TS-1088-xR020",96.300000,-71.900000,180.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",84.800000,-68.600000,-90.000000,top
"U1","STM32F446RET6","LQFP-64_10x10mm_P0.5mm",108.500000,-82.500000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",120.100000,-92.750000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",94.350000,-79.600000,-90.000000,top
