Comment,Designator,Footprint,JLCPCB Part #,Qty,DNP
100nF,"C1,C2,C3,C4,C9",Capacitor_SMD:C_0402_1005Metric,C1525,5,
10uF,C5,Capacitor_SMD:C_0603_1608Metric,C1691,1,
10nF,C6,Capacitor_SMD:C_0402_1005Metric,C1524,1,
1uF,"C7,C8",Capacitor_SMD:C_0402_1005Metric,C14445,2,
10pF,"C10,C11",Capacitor_SMD:C_0402_1005Metric,C1545,2,
22uF,"C12,C13",Capacitor_SMD:C_0805_2012Metric,C5674,2,
4.7uF,C14,Capacitor_SMD:C_0402_1005Metric,C23733,1,
RED,D1,LED_SMD:LED_0603_1608Metric, C2286,1,
FerriteBead,FB1,Inductor_SMD:L_0603_1608Metric,C1002 ,1,
USB_B_Micro,J1,Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal,C132563,1,
10k,R1,Resistor_SMD:R_0402_1005Metric,C25531,1,
1k5,R2,Resistor_SMD:R_0402_1005Metric,C25867,1,
SW_Push,SW1,Button_Switch_SMD:SW_SPST_TS-1088-xR020,C720477,1,
SW_SPDT,SW2,Button_Switch_SMD:SW_SPDT_PCM12,C431541,1,
STM32F446RET6,U1,Package_QFP:LQFP-64_10x10mm_P0.5mm,C69336,1,
AMS1117-3.3,U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186,1,
16MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm, C112972,1,
